Pair of Elevator Grilles (Sullivan),red,4441
Dining Chair (Elmslie),orange,5995
Sample Cast for Elevator Bank Decoration (Elmslie),green,62770
FLW Hallway,blue ,19689
Casement Window,purple,5694
Little Crow,red,1862
Stampede,orange,4196
Black Place I (O'Keefe),green,
Death Song of Lone Wolf,blue ,3321
They Say Minnesota Nice,purple,5102
After the Reception,red,263
Portrait of Robert Koehler,orange,83269
Off the Coast,green,106831
The Twins,blue ,5683
Marriage,purple,47
James J Hill Presentation Tray,red,2900
St. Anthony Falls It Appeared..,orange,303
Model of the Original Mia,green,31427
Theseus Slaying the Centar,blue ,1263
Tornado Over St. Paul,purple,2490
Portrait of Eliza Ann and Adelia Dusenberry,red,98954
Ram,orange,118808
Cupboard,green,2421
Portrait of a Bry,blue ,2505
Portrait of Harriet Brown,purple,
The Union of Love and Friendship,red,10593
Portrait of Mlle. Lange as Danae,orange,1727
View of the Collesseum ,green,4398
Attributes of the Arts and...,blue ,1227
Portrait of the Countess Maria,purple,2570
"Imaginary Landscape, Italian Harbor Scene",red,
Ganymede and the Eagle,orange,1629
The Comtesse d'Egmont Pignatelli in Spanish Costume,green,99368
Portrait of John Woodyeare,blue ,
Allegory of War,purple,1402
The Trinity Souls in Purgatory,red,1665
Diogenes,orange,8776
St. John the Baptist,green,2245
The Annunciation,blue ,1487
The Prodigal Son,purple,
Commode,red,3057
The End of the Hunt,orange,521
Portrait of Pope Clement X,green,1375
Pair of Vases,blue ,9688
Awaiting the Chase,purple,518
Portrait of Michel de Lany ,red,3217
Sparrow Hawk,orange,2507
Pair of Corner Cabinets,green,22277
Child's Chair and Daybed,blue ,90349
Lady's Writing Desk,purple,2730
Death on Horseback,red,51935
Triumph of Marcus Aurelius,orange,120860
St. James ,green,49879
The Second Tournament with Tapestry of Swanson and the Lion,blue ,
Soldier with Horse Attendant,purple,52346
Pegasus ,red,109138
The Races (Manet),orange,
Untitled (Landscape with Horses),green,113261
Wreck of the Ol '97,blue ,59510
The Circus Performer,purple,
Deer in the Forest,red,53
Self Portrait with Dr. Arrieta,orange,1226
The Convulsionists of Tangier,green,1978
"View of Mont Blanc, Seen from La Faucille",blue ,6239
Evening Storm Clearing Off,purple,109318
Abundant Fruit,red,98269
Portrait of Sarah Allen...,orange,593
Reminiscenes of 1865,green,689
Still Life with Cakes and Wine,blue ,98274
Diana with a Bow,purple,1565
The White Bridge,red,44
Catskill Mountain House,orange,452
Isles of Shoals ,green,45
emerging from the fire,blue ,4763
Cape Trinity,purple,120525
The Lost Pliad,red,6228
Mirror,orange,420
Side Chair,green,96502
Highboy,blue ,427
Bust of George Washington,purple,1217
Biedermier Secretary,red,63571
Pier Table,orange,4817
The Arts of Peace,green,2614
Fireplace Surround,blue ,4248
Lady's Writing Desk,purple,82237
Crucifixion,red,123223
The Ship of Virtues,orange,613
Virgin of the Milk,green,113688
Theta,blue ,106354
Saint Catherine,purple,136
Stoup,red,1520
Richmond Race Cup,orange,98750
Masterpiece Cup and Cover,green,109118
The Arch Angle St. Raphael with Tobias his Dog and the Fish,blue ,120729
Nautilus Shell Cup,purple,111675
The Birthday Party,red,1509
Nymphenburg,orange,2806
Dancer Putting on Her Stocking,green,10444
The Sunny Room,blue ,1417
Portrait of Mlle. Hortense Valpincon,purple,774
Chestnut Trees at Jas de Bouffan,red,802
The Smoker,orange,1689
Study for a Burgher of Calais,green,11956
Nude on Couch,blue ,1655
Grainstack ,purple,10436
Peace Concluded,red,1738
The Carpet Merchant,orange,10361
Battledore,green,80860
abduction of polyxena,blue ,2035
the Algerian,purple,2276
Composition ,red,?
Torso,orange,121684
171 Blvd. St. Germain #1,green,121794
Figure C,blue ,?
John Brown Reading His Bible,purple,121770
Silver Storm,red,120510
Nimbus Recling French Nude,orange,120582
Cross with a Red Heart,green,115966
Winter Window,blue ,121740
Fish and Seaweed,purple,121632
The Barn,red,121920
Autumn Leaves,orange,121719
Draped Standing Female Figure,green,99623
Macy's Parade,blue ,120500
Prayer on Park Avenue,purple,120522
Figure,red,1633
The Spanish Playing Cards,orange,1503
The Clockmaker,green,103800
Portrait of the Artist,blue ,1277
Italian Town by the sea,purple,106095
The Procurress,red,13190
Ehrenbezugung,orange,100463
Adam and Eve,green,?
Bautatelier Gropius,blue ,31101
Vor dem Start nach New York,purple,30758
Gumball Machine,red,7565
Untitled (hisachika takahashi),orange,125771
Red Squash,green,56603
Minature Mask,blue ,20962
Asante- Collection of Gold Weights,purple,27228
London: St. Paul's Cathedral seen from the Thames,red,1429
Three Bathers,orange,1411
Study for Improvisation V,green,1639
L'Intrigue,blue ,1800
The Avenger,purple,1356
The Color of Matter,red,95926
1984,orange,1857
Before Mountaineering,green,27402
Woman and Small World,blue ,125888
#43 from the Hmong Migration,purple,89597
Frank,red,1721
Dan Mask,orange,108666
Verso,green,115752
Diego,blue ,12776
Sound Suit,purple,111576
Warrior with Shield,red,1244
Bronze,orange,1354
The Studio,green,1515
Billboard,blue ,1330
Chinese Landscape,purple,98513
Study for Portrait VI,red,1355
Head of Woman,orange,1555
The Promenades of Euclid,green,1670
Aphrodisiac Telephone,blue ,5033
"Through Birds, Through Fire but Not Through Glass",purple,2241
Portrait of Paris von Gutersloh,red,10219
Golden Bird,orange,1274
Carcass of Beef,green,1325
Madeline 1,blue ,1887
The Poet with the Birds,purple,1427
Curator's Office,red,116294
Tulip Glass,orange,40979
Octo 4240 Lamp,green,119495
Manhattan,blue ,33040
Kelohonka,purple,114549
